district_name,block_name,gp_name,vill_name,lat,long,dairy_production,goat_farming,goat_breeding_farm,goat_kid_nursery,goat_nursery,pig_farming,pig_breeding_farm,pig_piglet_nursery,pig_nursery,poultry_backyard,poultry_broiler,poultry_hen,poultry_duck_hatchery,duck_rearing,fishery_activity,fishery_hatchery,fishery_equip_trading,fishery_equip_lending,fishery_equip_mfg,fish_trading,fishery_nursery_pond,feed_manufacturing,fodder_cultivation,livestock_transport,meat_shop
DHEMAJI,MURKONGSELEK,JONAI,JONAI BAZAR,27.825017,95.228757,12,104,0,0,0,293,0,0,0,26,3,0,0,15,4,0,0,0,0,0,0,0,0,1,2
DHEMAJI,MURKONGSELEK,SOMKONG,LAMBA CHAPORI,27.632195,94.951937,1,58,0,0,0,12,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.2 MURKONGSELEK,27.830195,95.221603,20,98,0,0,0,214,0,0,0,38,4,0,0,26,7,0,0,0,0,1,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,ISHWARPATHAR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,NO.2 BOGORI CHAPORI,,,0,2,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,NO.1 BOGORI CHAPORI,27.681675,95.029462,0,21,0,0,0,55,0,0,0,11,0,0,0,3,19,0,0,0,0,0,0,0,0,0,2
DHEMAJI,MURKONGSELEK,BAHIR JONAI,BOLAIPAM,27.821203,95.230978,0,35,0,0,0,134,0,0,0,20,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.3 MURKONGSELEK (PART-I),27.82297,95.215316,0,3,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,NAHARBANDANA,27.762347,95.150877,0,49,0,0,0,24,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,NAMKIR PATHAR,27.740296,94.932026,0,33,0,43,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,2
DHEMAJI,MURKONGSELEK,BAHIR JONAI,NO 1 RATANPUR PADI,27.810748,95.238984,8,37,0,0,0,100,0,0,0,13,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.3 MURKONGSELEK (PART-II),27.823703,95.214352,1,10,0,0,0,45,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DIMOW,NO.1 NAHARBARI,,,1,55,0,0,0,55,0,0,0,4,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,POKORIGURI,,,1,41,0,0,0,26,0,0,0,9,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,KANDULIJAN GAON (DIPU GAON)(KANDULI JOL)KANDULI MOTHURA,27.524478,94.728769,4,34,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO 1 MORKONGSELEK,27.839681,95.21886,0,10,0,0,0,135,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,KATHALGURI BIHIYA,27.762247,95.103715,0,34,0,0,0,79,0,0,0,3,2,0,0,1,22,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DIMOW,NO.2 NAHARBARI,27.698916,94.853198,4,96,0,0,0,83,0,0,0,9,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO.1 TARAJAN,27.829467,95.23862,1,16,0,0,0,50,0,0,0,13,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,MISINGPUR (MEMBERCHUK),27.533356,94.729613,37,51,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,NO 2 UDOY BORO,27.78191,95.105367,0,4,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.2 RAYENG KULI,27.798902,95.211818,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,BIKROMPUR,27.725702,95.052822,0,5,0,0,0,27,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,BAHIR JONAI,MAHMARA,,,1,20,0,0,0,83,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,BORMURIA CHAPORI,27.566555,94.743922,9,51,0,0,0,31,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,CHANDRAPUR (LULAT),27.799036,95.202948,1,25,0,0,0,38,0,0,0,9,1,0,0,8,4,0,0,0,0,0,0,0,0,1,1
DHEMAJI,MURKONGSELEK,JONAI,JOYMAGURI,27.804776,95.200837,0,21,0,0,0,55,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0
DHEMAJI,MURKONGSELEK,BAHIR JONAI,KOPLONG MAHMORA,27.789151,95.246083,1,2,0,0,0,62,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,BURISUTI KACHARI,27.675919,95.026861,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO.1 JELAM,27.8715,95.30878,0,39,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,AMGURI DAMBUK,27.454256,94.718792,0,75,0,0,0,53,0,1,0,6,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,BURISUTI BANGALI,27.693305,95.041492,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,CHIMENMUKH,"SIMEN ALIMUR, SIMEN BALI GAON, BHANGAPARA HAJONG (CHANDAPARA)",,,1,42,0,0,0,7,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,DIKHARI KACHARI,27.69669,95.038891,14,21,0,0,0,27,0,0,0,5,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,GELUA ASSOMIA,,,3,138,0,0,0,41,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,BILPAR NAMKIR,27.627018,94.895221,0,44,0,0,0,87,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,CHIMENMUKH,"SIMEN MAJOR, SIMEN SOLA, SIMEN BALI KHUTI AHOM",,,6,26,0,0,0,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,KULAJAN GOAN (KULAJAN PATHAR),27.518573,94.741646,0,122,0,0,0,138,0,0,0,0,0,0,0,2,43,0,1,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,LAMAJAN DOMORUGURI,27.629216,94.902294,0,54,0,58,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,JONAI,NO.3 MURKONGSELEK (PART-III),27.804773,95.200829,4,80,0,0,0,31,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,GELUA GOAN (GELUA MIRI),27.546665,94.713195,0,114,0,0,0,54,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,OTHER,27.630482,94.892753,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,NO.2 MAINA PUR,27.803508,95.126197,3,51,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO 1 ORIAMGHAT,27.845367,95.348537,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,MUNMUNI CHAPORI,27.821594,95.231615,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,NO.2 AMRITPUR KEMERE,27.803572,95.212477,1,12,0,0,0,22,0,0,0,11,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SILLE,NO 1 TARI NEPALI,27.821616,95.230819,5,30,0,0,0,21,0,0,0,5,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,NO.1 AMRITPUR KEMERE,27.803572,95.212477,1,16,0,0,0,38,0,0,0,5,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,SOMKONG,ZALUNG BORO,27.678254,94.890335,15,52,0,0,0,292,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SILLE,BOGINADI,27.762286,95.255888,0,26,0,0,0,19,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,BEJGURI,27.685027,94.897253,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,RAKUT KEMERE,27.78251,95.228462,0,9,0,0,0,17,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,OTHER,,,0,204,0,0,0,176,0,0,0,10,3,0,0,7,25,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,SILLE,RAVA SONOWAL( SONOWAL KATHANI),27.76615,95.252145,2,11,0,0,0,69,0,0,0,11,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,AMLAKHI PAIT,27.750687,94.950512,0,38,0,0,0,78,0,0,0,25,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0
DHEMAJI,MURKONGSELEK,TELAM,KOMANSELEK,27.761169,95.014833,1,26,0,0,0,81,0,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2
DHEMAJI,MURKONGSELEK,OTHER,ARNUN CHAPORI,27.759447,95.011908,0,17,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,NO.1 TELAM,27.760968,95.010283,0,47,0,0,0,25,0,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
DHEMAJI,MURKONGSELEK,OTHER,TELAM PATHAR,27.761369,95.009308,2,52,0,0,0,54,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,REST CAMP,27.780534,95.164223,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,NAHAR DETAK,27.780534,95.164223,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,MADHYA LAKHIPUR,27.749393,95.194885,10,0,12,0,0,51,0,0,0,8,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAJAKHANA,NO.3 RAYENG BORO,,,10,67,0,0,0,175,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAJAKHANA,NO.3 RAYENG NEPALI,,,0,54,0,0,0,73,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,BOLAIMORA,27.74182,94.933578,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1
DHEMAJI,MURKONGSELEK,GALI SIKARI,GALI BORBALI,27.736824,95.114379,0,50,0,0,0,250,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,MADHYA SISSITONGANI,DAMBUK KANGKAN RUPAHI,27.477477,94.701025,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,NO 1 MILANPUR,27.761547,95.088378,0,24,0,0,0,47,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,KRISHNAPUR MAJDUR,27.743653,95.107343,6,22,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,DAMBUK KANGKAN RUPAHI,27.477477,94.701025,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,MECHAKI PALUNG,27.742553,95.100175,2,36,0,0,0,66,0,0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SILLE,NO 1 RIGBI,27.812949,95.276864,2,14,0,0,0,53,0,0,0,18,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,NO.5 RAMDHAN,27.727729,95.049948,6,1,0,0,0,117,0,0,0,28,3,0,0,14,21,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,MEMBER CHUK,27.749624,95.170415,0,4,0,0,0,24,0,0,0,11,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,NO.2 SIKARI (NO 1 SIKARI),27.714603,95.095112,3,27,0,0,0,61,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,NO.1 SIRAMPURIA,27.749585,95.170433,7,28,0,0,0,50,0,0,0,11,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAYANG BIJAYPUR,BIJOYPUR NAMONI,27.749512,95.170608,1,25,0,0,0,115,0,0,0,18,2,0,0,6,25,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,MADHYA SISSITONGANI,OTHER,27.477477,94.721334,0,47,0,0,0,28,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,NAHARBIJULI,27.745765,95.152597,0,13,0,0,0,7,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
